,t,accel_xout,accel_yout,accel_zout,xout_scaled,yout_scaled,zout_scaled
0,0.0035762786865234375,0,4064,16800,0.0,0.248046875,1.025390625
1,0.34427642822265625,0,4064,16800,0.0,0.248046875,1.025390625
2,0.6744861602783203,0,4124,16828,0.0,0.251708984375,1.027099609375
3,1.0025501251220703,40,4124,16828,0.00244140625,0.251708984375,1.027099609375
4,1.3306140899658203,40,4124,16828,0.00244140625,0.251708984375,1.027099609375
5,1.6603469848632812,40,4036,16744,0.00244140625,0.246337890625,1.02197265625
6,1.9881725311279297,64,4036,16744,0.00390625,0.246337890625,1.02197265625
7,2.3157596588134766,64,4036,16744,0.00390625,0.246337890625,1.02197265625
8,2.6433467864990234,64,4044,16832,0.00390625,0.246826171875,1.02734375
9,2.9735565185546875,28,4044,16832,0.001708984375,0.246826171875,1.02734375
10,3.300905227661133,28,4044,16832,0.001708984375,0.246826171875,1.02734375
11,3.6284923553466797,28,4028,16856,0.001708984375,0.245849609375,1.02880859375
12,3.9565563201904297,180,4028,16856,0.010986328125,0.245849609375,1.02880859375
13,4.283666610717773,180,4028,16856,0.010986328125,0.245849609375,1.02880859375
14,4.61125373840332,180,4012,16704,0.010986328125,0.244873046875,1.01953125
15,4.93931770324707,112,4012,16704,0.0068359375,0.244873046875,1.01953125
16,5.266904830932617,112,4012,16704,0.0068359375,0.244873046875,1.01953125
17,5.595684051513672,112,3944,16612,0.0068359375,0.24072265625,1.013916015625
18,5.923271179199219,116,3944,16612,0.007080078125,0.24072265625,1.013916015625
19,6.250619888305664,116,3944,16612,0.007080078125,0.24072265625,1.013916015625
20,6.577491760253906,116,3988,16676,0.007080078125,0.243408203125,1.017822265625
21,6.905555725097656,116,3988,16676,0.007080078125,0.243408203125,1.017822265625
22,7.233142852783203,116,3988,16676,0.007080078125,0.243408203125,1.017822265625
23,7.560253143310547,116,3940,16816,0.007080078125,0.240478515625,1.0263671875
24,7.887601852416992,84,3940,16816,0.005126953125,0.240478515625,1.0263671875
25,8.215904235839844,84,3940,16816,0.005126953125,0.240478515625,1.0263671875
26,8.545637130737305,84,3992,16920,0.005126953125,0.24365234375,1.03271484375
27,8.873462677001953,116,3992,16920,0.007080078125,0.24365234375,1.03271484375
28,9.201765060424805,116,3992,16920,0.007080078125,0.24365234375,1.03271484375
29,9.529352188110352,116,3944,16844,0.007080078125,0.24072265625,1.028076171875
30,9.856939315795898,40,3944,16844,0.00244140625,0.24072265625,1.028076171875
31,10.207176208496094,40,3944,16844,0.00244140625,0.24072265625,1.028076171875
32,10.541200637817383,40,3932,16840,0.00244140625,0.239990234375,1.02783203125
33,10.868310928344727,172,3932,16840,0.010498046875,0.239990234375,1.02783203125
34,11.195898056030273,172,3932,16840,0.010498046875,0.239990234375,1.02783203125
35,11.523008346557617,172,3984,16896,0.010498046875,0.2431640625,1.03125
36,11.851787567138672,192,3984,16896,0.01171875,0.2431640625,1.03125
37,12.179374694824219,192,3984,16896,0.01171875,0.2431640625,1.03125
38,12.506723403930664,192,3932,16848,0.01171875,0.239990234375,1.0283203125
39,12.833595275878906,92,3932,16848,0.005615234375,0.239990234375,1.0283203125
40,13.16070556640625,92,3932,16848,0.005615234375,0.239990234375,1.0283203125
41,13.488054275512695,92,3932,16784,0.005615234375,0.239990234375,1.0244140625
42,13.815164566040039,164,3932,16784,0.010009765625,0.239990234375,1.0244140625
43,14.142036437988281,164,3932,16784,0.010009765625,0.239990234375,1.0244140625
44,14.468908309936523,164,3876,16864,0.010009765625,0.236572265625,1.029296875
45,14.796018600463867,64,3876,16864,0.00390625,0.236572265625,1.029296875
46,15.12289047241211,64,3876,16864,0.00390625,0.236572265625,1.029296875
47,15.452384948730469,64,4076,16856,0.00390625,0.248779296875,1.02880859375
48,15.779972076416016,96,3820,16856,0.005859375,0.233154296875,1.02880859375
49,16.10708236694336,96,3820,16856,0.005859375,0.233154296875,1.02880859375
50,16.43514633178711,96,3608,16960,0.005859375,0.22021484375,1.03515625
51,16.762256622314453,212,3864,16960,0.012939453125,0.23583984375,1.03515625
52,17.089366912841797,212,3864,16960,0.012939453125,0.23583984375,1.03515625
53,17.416715621948242,212,3916,16940,0.012939453125,0.239013671875,1.033935546875
54,17.74430274963379,208,3916,16940,0.0126953125,0.239013671875,1.033935546875
55,18.071651458740234,208,3916,16940,0.0126953125,0.239013671875,1.033935546875
56,18.39900016784668,208,4056,16848,0.0126953125,0.24755859375,1.0283203125
57,18.726348876953125,164,3800,16848,0.010009765625,0.23193359375,1.0283203125
58,19.053220748901367,164,3800,16848,0.010009765625,0.23193359375,1.0283203125
59,19.400358200073242,164,3676,16848,0.010009765625,0.224365234375,1.0283203125
60,19.729137420654297,136,3676,16848,0.00830078125,0.224365234375,1.0283203125
61,20.06387710571289,136,3676,16848,0.00830078125,0.224365234375,1.0283203125
62,20.391225814819336,136,3788,17000,0.00830078125,0.231201171875,1.03759765625
63,20.718812942504883,196,3788,17000,0.011962890625,0.231201171875,1.03759765625
64,21.045684814453125,196,3788,17000,0.011962890625,0.231201171875,1.03759765625
65,21.37279510498047,196,3820,16884,0.011962890625,0.233154296875,1.030517578125
66,21.700382232666016,232,3820,16884,0.01416015625,0.233154296875,1.030517578125
67,22.027254104614258,232,3820,16884,0.01416015625,0.233154296875,1.030517578125
68,22.363662719726562,232,3812,17036,0.01416015625,0.232666015625,1.039794921875
69,22.691726684570312,324,3812,17036,0.019775390625,0.232666015625,1.039794921875
70,23.01931381225586,324,3812,17036,0.019775390625,0.232666015625,1.039794921875
