,t,accel_xout,accel_yout,accel_zout,xout_scaled,yout_scaled,zout_scaled
0,0.003814697265625,-340,5540,15356,-0.020751953125,0.338134765625,0.937255859375
1,0.3483295440673828,-468,5468,15356,-0.028564453125,0.333740234375,0.937255859375
2,0.6802082061767578,-468,5468,15356,-0.028564453125,0.333740234375,0.937255859375
3,1.0097026824951172,-468,5468,15252,-0.028564453125,0.333740234375,0.930908203125
4,1.338958740234375,-572,5304,15252,-0.034912109375,0.32373046875,0.930908203125
5,1.6863346099853516,-572,5304,15252,-0.034912109375,0.32373046875,0.930908203125
6,2.016305923461914,-572,5304,15392,-0.034912109375,0.32373046875,0.939453125
7,2.3453235626220703,-676,5240,15392,-0.041259765625,0.31982421875,0.939453125
8,2.675294876098633,-676,5240,15392,-0.041259765625,0.31982421875,0.939453125
9,3.0059814453125,-676,5240,15776,-0.041259765625,0.31982421875,0.962890625
10,3.334522247314453,-720,5296,15776,-0.0439453125,0.3232421875,0.962890625
11,3.671884536743164,-720,5296,15776,-0.0439453125,0.3232421875,0.962890625
12,4.001617431640625,-720,5296,16312,-0.0439453125,0.3232421875,0.99560546875
13,4.33039665222168,-720,5412,16312,-0.0439453125,0.330322265625,0.99560546875
14,4.659891128540039,-720,5412,16312,-0.0439453125,0.330322265625,0.99560546875
15,4.989147186279297,-720,5412,16772,-0.0439453125,0.330322265625,1.023681640625
16,5.325794219970703,-620,5528,16772,-0.037841796875,0.33740234375,1.023681640625
17,5.656242370605469,-620,5528,16772,-0.037841796875,0.33740234375,1.023681640625
18,5.985260009765625,-620,5528,17076,-0.037841796875,0.33740234375,1.042236328125
19,6.314516067504883,-552,5600,17076,-0.03369140625,0.341796875,1.042236328125
20,6.643533706665039,-552,5600,17076,-0.03369140625,0.341796875,1.042236328125
21,6.980419158935547,-552,5548,17064,-0.03369140625,0.338623046875,1.04150390625
22,7.309913635253906,-512,5548,17064,-0.03125,0.338623046875,1.04150390625
23,7.6389312744140625,-512,5548,17064,-0.03125,0.338623046875,1.04150390625
24,7.968425750732422,-512,5476,17100,-0.03125,0.334228515625,1.043701171875
25,8.297443389892578,-460,5476,17100,-0.028076171875,0.334228515625,1.043701171875
26,8.628129959106445,-460,5476,17100,-0.028076171875,0.334228515625,1.043701171875
27,8.965015411376953,-460,5488,17116,-0.028076171875,0.3349609375,1.044677734375
28,9.342670440673828,-420,5488,17116,-0.025634765625,0.3349609375,1.044677734375
29,9.672164916992188,-420,5488,17116,-0.025634765625,0.3349609375,1.044677734375
30,10.001897811889648,-420,5508,16928,-0.025634765625,0.336181640625,1.033203125
31,10.330677032470703,-492,5508,16928,-0.030029296875,0.336181640625,1.033203125
32,10.666847229003906,-492,5508,16928,-0.030029296875,0.336181640625,1.033203125
33,10.995149612426758,-492,5360,16728,-0.030029296875,0.3271484375,1.02099609375
34,11.324644088745117,-396,5360,16728,-0.024169921875,0.3271484375,1.02099609375
35,11.65318489074707,-396,5360,16728,-0.024169921875,0.3271484375,1.02099609375
36,11.983394622802734,-396,5332,16372,-0.024169921875,0.325439453125,0.999267578125
37,12.319803237915039,-448,5332,16372,-0.02734375,0.325439453125,0.999267578125
38,12.648344039916992,-448,5332,16372,-0.02734375,0.325439453125,0.999267578125
39,12.976884841918945,-448,5232,15824,-0.02734375,0.3193359375,0.9658203125
40,13.305902481079102,-448,5232,15824,-0.02734375,0.3193359375,0.9658203125
41,13.634920120239258,-448,5232,15824,-0.02734375,0.3193359375,0.9658203125
42,13.963460922241211,-448,5212,15768,-0.02734375,0.318115234375,0.96240234375
43,14.299631118774414,-456,5212,15768,-0.02783203125,0.318115234375,0.96240234375
44,14.628171920776367,-456,5212,15768,-0.02783203125,0.318115234375,0.96240234375
45,14.956474304199219,-456,5292,15812,-0.02783203125,0.322998046875,0.965087890625
46,15.285968780517578,-424,5292,15812,-0.02587890625,0.322998046875,0.965087890625
47,15.616655349731445,-424,5292,15812,-0.02587890625,0.322998046875,0.965087890625
48,15.952348709106445,-424,5292,15748,-0.02587890625,0.322998046875,0.961181640625
49,16.281604766845703,-412,5292,15748,-0.025146484375,0.322998046875,0.961181640625
50,16.609907150268555,-412,5292,15748,-0.025146484375,0.322998046875,0.961181640625
51,16.938209533691406,-412,5204,15776,-0.025146484375,0.317626953125,0.962890625
52,17.26698875427246,-424,5204,15776,-0.02587890625,0.317626953125,0.962890625
53,17.602920532226562,-424,5204,15776,-0.02587890625,0.317626953125,0.962890625
54,17.931461334228516,-424,5048,15932,-0.02587890625,0.30810546875,0.972412109375
55,18.26024055480957,-396,5048,15932,-0.024169921875,0.30810546875,0.972412109375
56,18.589258193969727,-396,5048,15932,-0.024169921875,0.30810546875,0.972412109375
57,18.91779899597168,-396,5048,16188,-0.024169921875,0.30810546875,0.988037109375
58,19.2718505859375,-396,5048,16188,-0.024169921875,0.30810546875,0.988037109375
59,19.62137222290039,-396,5048,16188,-0.024169921875,0.30810546875,0.988037109375
60,19.951343536376953,-464,4996,16372,-0.0283203125,0.304931640625,0.999267578125
61,20.28059959411621,-464,4996,16372,-0.0283203125,0.304931640625,0.999267578125
62,20.60985565185547,-464,4996,16372,-0.0283203125,0.304931640625,0.999267578125
63,20.938873291015625,-284,4936,16588,-0.017333984375,0.30126953125,1.012451171875
64,21.274566650390625,-540,4936,16588,-0.032958984375,0.30126953125,1.012451171875
65,21.60334587097168,-540,4936,16588,-0.032958984375,0.30126953125,1.012451171875
66,21.932363510131836,-744,4924,16656,-0.04541015625,0.300537109375,1.0166015625
