,accel_xout,accel_yout,accel_zout,t,xout_scaled,yout_scaled,zout_scaled
0,2884,5412,16140,0.0019073486328125,0.176025390625,0.330322265625,0.985107421875
1,2884,5400,16256,0.7119178771972656,0.176025390625,0.32958984375,0.9921875
2,2936,5400,16252,1.4269351959228516,0.17919921875,0.32958984375,0.991943359375
3,2960,5384,16252,2.1219253540039062,0.1806640625,0.32861328125,0.991943359375
4,3064,5256,16040,2.8159618377685547,0.18701171875,0.32080078125,0.97900390625
5,3064,5276,16100,3.515005111694336,0.18701171875,0.322021484375,0.982666015625
6,3084,5276,16100,4.209995269775391,0.188232421875,0.322021484375,0.982666015625
7,3112,5296,16260,4.904031753540039,0.18994140625,0.3232421875,0.992431640625
8,3112,5224,16152,5.600929260253906,0.18994140625,0.31884765625,0.98583984375
9,3204,5224,16160,6.2999725341796875,0.195556640625,0.31884765625,0.986328125
10,3244,5296,16160,6.994009017944336,0.197998046875,0.3232421875,0.986328125
11,3220,5360,16160,7.688999176025391,0.196533203125,0.3271484375,0.986328125
12,3220,5360,16072,8.383035659790039,0.196533203125,0.3271484375,0.98095703125
13,3232,5288,16072,9.078025817871094,0.197265625,0.32275390625,0.98095703125
14,3236,5248,16064,9.772062301635742,0.197509765625,0.3203125,0.98046875
15,3236,5224,16244,10.465860366821289,0.197509765625,0.31884765625,0.991455078125
16,3112,5224,16180,11.158943176269531,0.18994140625,0.31884765625,0.987548828125
17,3040,5180,16180,11.857032775878906,0.185546875,0.316162109375,0.987548828125
18,3040,5220,16168,12.549877166748047,0.185546875,0.318603515625,0.98681640625
19,2972,5220,16180,13.243913650512695,0.181396484375,0.318603515625,0.987548828125
20,2988,5220,16180,13.936996459960938,0.182373046875,0.318603515625,0.987548828125
21,2940,5152,16228,14.631032943725586,0.179443359375,0.314453125,0.990478515625
22,2940,5160,16232,15.323877334594727,0.179443359375,0.31494140625,0.99072265625
23,2848,5160,16232,16.06607437133789,0.173828125,0.31494140625,0.99072265625
24,2856,5136,16196,16.759872436523438,0.17431640625,0.3134765625,0.988525390625
25,2856,5116,16112,17.45295524597168,0.17431640625,0.312255859375,0.9833984375
26,2804,5116,15976,18.151044845581055,0.171142578125,0.312255859375,0.97509765625
27,2716,5036,16232,18.8448429107666,0.165771484375,0.307373046875,0.99072265625
28,2636,5140,16280,19.540071487426758,0.160888671875,0.313720703125,0.99365234375
29,2636,5140,16200,20.233869552612305,0.160888671875,0.313720703125,0.98876953125
30,2564,5044,16200,20.926952362060547,0.156494140625,0.307861328125,0.98876953125
31,2572,4992,16260,21.620988845825195,0.156982421875,0.3046875,0.992431640625
32,2572,5076,16260,22.314071655273438,0.156982421875,0.309814453125,0.992431640625
33,2492,5076,16348,23.007869720458984,0.152099609375,0.309814453125,0.997802734375
34,2472,4972,16348,23.700952529907227,0.15087890625,0.303466796875,0.997802734375
35,2472,4868,16260,24.394989013671875,0.15087890625,0.297119140625,0.992431640625
36,2484,4868,16264,25.09307861328125,0.151611328125,0.297119140625,0.99267578125
37,2344,4960,16264,25.78902244567871,0.14306640625,0.302734375,0.99267578125
38,2416,4940,16280,26.48305892944336,0.1474609375,0.301513671875,0.99365234375
39,2416,4964,16288,27.1759033203125,0.1474609375,0.302978515625,0.994140625
40,2416,4964,16288,27.86993980407715,0.1474609375,0.302978515625,0.994140625
41,2348,5048,16392,28.56302261352539,0.143310546875,0.30810546875,1.00048828125
42,2348,4960,16184,29.25705909729004,0.143310546875,0.302734375,0.98779296875
43,2396,4960,16144,29.94990348815918,0.146240234375,0.302734375,0.9853515625
44,2440,4896,16144,30.644893646240234,0.14892578125,0.298828125,0.9853515625
45,2420,4884,16220,31.338930130004883,0.147705078125,0.298095703125,0.989990234375
46,2420,4884,16252,32.032012939453125,0.147705078125,0.298095703125,0.991943359375
47,2356,4860,16252,32.731056213378906,0.143798828125,0.296630859375,0.991943359375
48,2328,4960,16248,33.42485427856445,0.14208984375,0.302734375,0.99169921875
49,2328,4976,16344,34.117937088012695,0.14208984375,0.3037109375,0.99755859375
50,2360,4976,16336,34.811973571777344,0.14404296875,0.3037109375,0.9970703125
51,2340,4908,16336,35.66598892211914,0.142822265625,0.299560546875,0.9970703125
52,2212,4960,16312,36.360979080200195,0.135009765625,0.302734375,0.99560546875
53,2212,4920,16284,37.055015563964844,0.135009765625,0.30029296875,0.993896484375
54,2180,4920,16284,37.74905204772949,0.133056640625,0.30029296875,0.993896484375
55,2268,4892,16232,38.44189643859863,0.138427734375,0.298583984375,0.99072265625
56,2268,4916,16228,39.13593292236328,0.138427734375,0.300048828125,0.990478515625
57,2340,4916,16324,39.82996940612793,0.142822265625,0.300048828125,0.996337890625
58,2192,4820,16324,40.52305221557617,0.1337890625,0.294189453125,0.996337890625
59,2068,4904,16228,41.224002838134766,0.126220703125,0.29931640625,0.990478515625
60,2324,4904,16304,41.918039321899414,0.141845703125,0.29931640625,0.9951171875
61,2376,4920,16304,42.610883712768555,0.14501953125,0.30029296875,0.9951171875
62,2268,4876,16336,43.3049201965332,0.138427734375,0.297607421875,0.9970703125
63,2268,5092,16356,43.998003005981445,0.138427734375,0.310791015625,0.998291015625
64,2252,4836,16232,44.692039489746094,0.137451171875,0.295166015625,0.99072265625
65,2308,4948,16232,45.384883880615234,0.140869140625,0.302001953125,0.99072265625
66,2308,4804,16292,46.0810661315918,0.140869140625,0.293212890625,0.994384765625
67,2328,4804,16284,46.77391052246094,0.14208984375,0.293212890625,0.993896484375
68,2336,4880,16284,47.467947006225586,0.142578125,0.2978515625,0.993896484375
